date,title,link,description,source
2026-02-12 18:10:45,AI自律運用10日間の記録——デバッグ日記、パイプライン暴走、そしてAIが消えた日,https://zenn.dev/imudak/articles/hybrid-ai-operation-diary-2,"
 10日間の記録
前回の記事で、AI司令塔×マルチエージェントのハイブリッド運用体制を作った話を書きました。
あれから10日が経ちました。
プロジェクトが5個から20個に増え、失敗して復旧して、新しいエージェントが生まれ、自律パイプラインが暴走しました。そして、人間が寝ている間にAIが勝手に働くという状況が、想像以上に強烈な体験でした。
この記事は、その10日間の記録です。技術解説というより、運用ドキュメンタリー。失敗も隠さず書きます。というか、失敗がメインディッシュです。
前編・後編という区切りはやめて、1本の流れとして書き直しました。

 AIが裏で勝手に働く
運用体制を整えた翌日...",ZENN AI
2026-02-12 17:10:04,whisper-rsの実験メモ,https://zenn.dev/uliboooo/articles/01cd421e41a9dd,"!
AIも音声もド素人によるメモです。

ローカルllmで音声をtranscribeできるlibの実験。各モデルでの精度と実行時間。
https://docs.google.com/spreadsheets/d/1Fc7UaXmPzA6JOUY85C6v8xNKAj47CQwQ2AaZ8V3cyUs/edit?usp=sharing
tiny &gt; base &gt; small, q5: 5bit量子化, q8: 8bit量子化
各モデル,量子化で10回ずつの実験。各モデルごとの平均値。


 生成の精度に関して
例



model
result




small 5bit
さ...",ZENN 大規模言語モデル
2026-02-12 16:23:37,ランプ波によるADC非直線性の可視化とMLPによる補正,https://zenn.dev/qwerewq/articles/d5cea593e55b2e,"
 1. 目的
本実験の目的は，ランプ波入力を用いてADCの非直線性を評価し（DNL/INL），さらにニューラルネットワーク（MLP）で「コード→電圧」の写像を学習して，補正前後のDNL/INLがどの程度改善するかを確認することである。
補正はアナログ回路を変更せず，デジタル側の推定器（ソフト処理）で行う。


 2. 基本事項：ADCとLSB
ADC（Analog to Digital Converter）は，入力電圧 x を，離散的な整数コード code に変換する。
n_bits ビットADCのコード数：

n_codes = 2^n_bits

基準電圧を Vref とすると，理...",ZENN 機械学習
2026-02-12 16:13:10,W・L・Rを強化学習で最適化するNMOS共通ソース増幅回路の自動設計,https://zenn.dev/qwerewq/articles/e5356e8ccc7911,"
 はじめに
回路設計は、式が導けた時点で終わりではない。最後に「動作点が成立しているか」「範囲内で使ってよい近似か」「仕様を満たすか」を必ず検算する。強化学習で W・L・R を探索する場合も同じで、報酬が上がったという理由だけで採用すると、Vout が飽和していたり、電力や帯域が外れていたりする設計を拾う。
本稿は、NMOS 共通ソース＋抵抗負荷（RD）の最小回路を題材に、W（チャネル幅）L（チャネル長）R（負荷抵抗）を強化学習で探索するための「数式の骨格」と「条件チェック」を、最初から一貫した流れでまとめる。狙いは、探索作業を「状態・行動・報酬」に落とし込み、Python 上で数値計...",ZENN AI
2026-02-12 15:45:27,我々は自分の仕事の価値をどう維持していくのか,https://zenn.dev/htanaka0828/articles/50217478351aa2,"Xのフォロワーさんが共有していたので読んでみました
https://x.com/kore_shishido/status/2021555169021014466
エンジニア界隈ではAIの登場によって仕事が奪われるかもという話を度々目にするようになった昨今です。エンジニアに限らず、生成AIの台頭は様々な分野において仕事の仕方をガラッと変えるインパクトを持っていると思います。「10年後になくなる仕事」のランキングが全然当たっていなかった、という記事も去年見かけた覚えがあります。これらの話題の時に繰り返しエンジニアメンバーたちに話すことがあるので、改めて文章にしてみようと思いました。専門家では...",ZENN AI
2026-02-12 15:38:12,Go製の軽量Personal AI Assistant「Clawlet」を作った,https://zenn.dev/mosaxiv/articles/clawlet-intro,"
 はじめに
OpenClawすごく流行ってますよね。
ただ機能が豊富なためコードが複雑で大きくもなっていて、「OpenClawのためにMac Mini買った」なんて話も聞くようになりました。
そこでもっと軽く使えるようにGoで単一バイナリ・軽量に動くPersonal AI Assistantを作りました。
エージェントループの機能を絞り込んでいるので、コードベースが小さくシンプルで読みやすく、改変もしやすいです。
リリース3日で140を超えるスターをいただきました。
https://github.com/mosaxiv/clawlet
!
元々はpicoclawという名前で開発していた...",ZENN 大規模言語モデル
2026-02-12 15:38:12,Go製の軽量Personal AI Assistant「Clawlet」を作った,https://zenn.dev/mosaxiv/articles/clawlet-intro,"
 はじめに
OpenClawすごく流行ってますよね。
ただ機能が豊富なためコードが複雑で大きくもなっていて、「OpenClawのためにMac Mini買った」なんて話も聞くようになりました。
そこでもっと軽く使えるようにGoで単一バイナリ・軽量に動くPersonal AI Assistantを作りました。
エージェントループの機能を絞り込んでいるので、コードベースが小さくシンプルで読みやすく、改変もしやすいです。
リリース3日で140を超えるスターをいただきました。
https://github.com/mosaxiv/clawlet
!
元々はpicoclawという名前で開発していた...",ZENN AI
2026-02-12 15:10:14,人類は「AI生成コンテンツ」を消費する次のステージへ【ワタシラジオ】,https://zenn.dev/tamagokakedon/articles/5cfe73d46c0d7c,"
 「ワタシラジオ」デモ動画
https://youtu.be/xWfmicPSqz0?si=rNOgjh5dOBwUrVUk

 「ワタシラジオ」とは
今回第4回 Agentic AI Hackathon with Google Cloudに応募するために「ワタシラジオ」を作成いたしました。
「ワタシラジオ」には次のような機能があります。

ログインなしでできる事

ラジオコンテンツ(このアプリでは「エピソード」と呼んでいます)の一日一回の作成
他の人が作成したエピソードの視聴
エピソード視聴時の再生速度や再生位置コントロール
エピソードのSNS(Xのみ)共有機能(自分の作成したエピソ...",ZENN AI
2026-02-12 14:59:27,高校数学のためのWolfram Alpha と 生成AI 活用ガイド,https://zenn.dev/fibujrsl/articles/e6da6fc614ba4a,"
 はじめに
近年、生成AIは学習補助ツールとして急速に普及している。問題文の要約、解法方針の整理、答案の文章化などにおいて一定の有用性があることは事実である。しかし、大学受験の数学において最も重要なのは、論理の厳密性と計算の正確性である。生成AIは自然な説明を生成できる一方で、符号ミス、定義域の見落とし、余分解の未処理、場合分けの不足などを含むことがある。しかも文章が整っているため、誤りが見抜きにくい。
この弱点を補う手段として有効なのが、Wolfram Alphaの併用である。生成AIで思考を整理し、Wolfram Alphaで計算と解集合を検証するという二段構えの運用により、誤りの...",ZENN 生成AI
2026-02-12 14:48:10,draw.io MCPで画面デザインの叩きを作ってみる,https://zenn.dev/mugi31415/articles/b70f46a0c099cf,"
 はじめに
draw.ioからMCPサーバが提供されたので、画面デザインの叩きを作ることができるか試してみます。

 結論
叩きにしては十分すぎる画面デザインを作成してくれました。
またdraw.ioで編集可能な形になっているので、人手でブラッシュアップすることができます。
編集可能な形式で出力される点は、画像生成AIと差別化できる部分だと思います。
生成されたデザインを少し修正した結果がこちらです。


 画面デザインの作成

 作るもの
Webカレンダーアプリの画面デザインを作ります。
一週間の予定が確認できる画面を想定しています。各予定はタイプ（仕事、プライベート、家族）ごとに分...",ZENN 生成AI
