company,date,info,link
パナソニック,2025-12-09 15:00:00,パナソニック耐震住宅工法「テクノストラクチャー」で構造躯体のBIMモデル「IFCデータ」提供サービスを開始,https://news.panasonic.com/jp/press/jn251209-1
パナソニック,2025-12-09 13:00:00,フルデジタルCO2／MAG溶接機「YD-350NR1」を発売,https://news.panasonic.com/jp/press/jn251209-2
パナソニック,2025-12-08 15:30:00,パナソニック野球部が2026年シーズンの終了をもって休部,https://news.panasonic.com/jp/press/jn251208-1
川崎重工,2025-12-08 13:00:00,「第7 回 神戸モノづくり企業 技術系女性交流会」を開催,https://www.khi.co.jp/news/news_251208-1.pdf
パナソニック,2025-12-08 12:10:02,パナソニックITSが「総務アワード2025」の「ゴールド」を受賞,https://news.panasonic.com/jp/topics/206526
パナソニック,2025-12-08 10:00:00,技術が開く、未来のトビラ：より少ない電力で、より強く動く「ORv3向け電源ソリューション」,https://news.panasonic.com/jp/stories/18081
パナソニック,2025-12-05 13:10:01,カーナビステーション「ストラーダ」専用 最新地図データ2026年度版を発売,https://news.panasonic.com/jp/topics/206522
パナソニック,2025-12-05 11:00:00,ルームエアコン エオリア Xシリーズを発売,https://news.panasonic.com/jp/press/jn251205-1
パナソニック,2025-12-04 14:00:00,パナソニック オートモーティブシステムズがThe Linux Foundationのグローバルイベント「Open Source Summit Japan」に出展,https://news.panasonic.com/jp/press/jn251204-1
パナソニック,2025-12-04 13:10:01,パナソニックのインクルーシブデザインの取り組みが「Zero Project Award 2026」を受賞,https://news.panasonic.com/jp/topics/206520
川崎重工,2025-12-04 11:00:00,船舶の運航管理を支援する「SOPass船上システム」において、サイバーレジリエンスに関する統一規則「IACS UR E27」に準拠した認証（Type Approval）を取得,https://www.khi.co.jp/pressrelease/detail/20251204_1.html
川崎重工,2025-12-03 10:30:00,新感覚オフロードパーソナルモビリティ「CORLEO」の開発に着手,https://www.khi.co.jp/pressrelease/detail/20251203_1.html
パナソニック,2025-12-03 09:00:00,次世代のエネルギーソリューション～ミュンヘンで進む「Panasonic HX」,https://news.panasonic.com/jp/stories/18145
パナソニック,2025-12-02 10:10:02,「SEMICON Japan 2025」パナソニック インダストリーブースの展示概要と見どころ,https://news.panasonic.com/jp/topics/206515
川崎重工,2025-12-01 15:00:00,無人ヘリコプター「K-RACER」を活用した送電鉄塔向け物資輸送サービスの実証に成功,https://www.khi.co.jp/pressrelease/news_251201-2.pdf
パナソニック,2025-12-01 14:10:01,Panasonic リフォームClubが「2025年 オリコン顧客満足度(R)調査 戸建てリフォーム」において2年連続で総合第1位を獲得,https://news.panasonic.com/jp/topics/206514
パナソニック,2025-12-01 11:00:00,WELL認証の考え方を基にエリアごとに導入できるWell-Beingな「空間パッケージ」の提供を開始,https://news.panasonic.com/jp/press/jn251201-1
川崎重工,2025-12-01 11:00:00,液化水素用船陸間継手が日本海事協会（Class NK）の技術認証取得,https://www.khi.co.jp/pressrelease/news_251201-1.pdf
安川電機,2025-12-01 04:00:50,安川電機とソフトバンク フィジカルAIの社会実装に向けて協業開始― 12月の国際ロボット展(IREX)で展示 ―,https://www.yaskawa.co.jp/newsrelease/news/1466524
パナソニック,2025-11-28 15:00:00,地場の工務店・建設会社による「性能向上リノベーション」支援策「リノUP（アップ）」を開始,https://news.panasonic.com/jp/press/jn251128-2
パナソニック,2025-11-28 10:00:00,家庭用エアコンの再商品化料金（リサイクル料金）改定について,https://news.panasonic.com/jp/press/jn251128-1
パナソニック,2025-11-27 17:45:00,パナソニック株式会社 取締役・役員等人事のお知らせ,https://news.panasonic.com/jp/press/jn251127-5
パナソニック,2025-11-27 17:45:00,パナソニック エンターテインメント＆コミュニケーション株式会社 取締役・役員等人事のお知らせ,https://news.panasonic.com/jp/press/jn251127-6
パナソニック,2025-11-27 17:35:00,パナソニック オペレーショナルエクセレンス株式会社 役員の人事等について,https://news.panasonic.com/jp/press/jn251127-9
パナソニック,2025-11-27 17:20:00,パナソニック ホールディングス株式会社 当社の執行役員への業務担当委嘱・事業会社社長の人事等について,https://news.panasonic.com/jp/press/jn251127-7
パナソニック,2025-11-27 16:10:01,「手ブレ補正搭載ビデオカメラ 1988」がIEEEマイルストーンに認定,https://news.panasonic.com/jp/topics/206503
パナソニック,2025-11-27 16:00:00,パナソニックHD、拡散型視覚言語モデルによるマルチモーダルAI「LaViDa」を開発,https://news.panasonic.com/jp/press/jn251127-2
パナソニック,2025-11-27 15:30:00,パナソニック株式会社の吸収合併（簡易合併）に関するお知らせ,https://news.panasonic.com/jp/press/jn251127-11
